t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
4790.0,1.000000,0,525.4064,45.00,480.4064
4800.0,1.000000,0,525.4069,45.00,480.4069
4810.0,1.000000,0,525.4074,45.00,480.4074
4820.0,1.000000,0,525.4079,45.00,480.4079
4830.0,1.000000,0,525.4084,45.00,480.4084
4840.0,1.000000,0,525.4089,45.00,480.4089
4850.0,1.000000,0,525.4094,45.00,480.4094
4860.0,1.000000,0,525.4099,45.00,480.4099
4870.0,1.000000,0,525.4104,45.00,480.4104
4880.0,1.000000,0,525.4109,45.00,480.4109
4890.0,1.000000,0,525.4114,45.00,480.4114
4900.0,1.000000,0,525.4119,45.00,480.4119
4910.0,1.000000,0,525.4124,45.00,480.4124
4920.0,1.000000,0,525.4129,45.00,480.4129
4930.0,1.000000,0,525.4134,45.00,480.4134
4940.0,1.000000,0,525.4139,45.00,480.4139
4950.0,1.000000,0,525.4144,45.00,480.4144
4960.0,1.000000,0,525.4149,45.00,480.4149
4970.0,1.000000,0,525.4154,45.00,480.4154
4980.0,1.000000,0,525.4159,45.00,480.4159
4990.0,1.000000,0,525.4164,45.00,480.4164
5000.0,1.000000,0,525.4169,45.00,480.4169
5010.0,1.000000,0,525.4174,45.00,480.4174
5020.0,1.000000,0,525.4179,45.00,480.4179
5030.0,1.000000,0,525.4184,45.00,480.4184
5040.0,1.000000,0,525.4189,45.00,480.4189
5050.0,1.000000,0,525.4194,45.00,480.4194
5060.0,1.000000,0,525.4199,45.00,480.4199
5070.0,1.000000,0,525.4203,45.00,480.4203
5080.0,1.000000,0,525.4208,45.00,480.4208
5090.0,1.000000,0,525.4213,45.00,480.4213
5100.0,1.000000,0,525.4218,45.00,480.4218
5110.0,1.000000,0,525.4223,45.00,480.4223
5120.0,1.000000,0,525.4228,45.00,480.4228
5130.0,1.000000,0,525.4233,45.00,480.4233
5140.0,1.000000,0,525.4238,45.00,480.4238
5150.0,1.000000,0,525.4243,45.00,480.4243
5160.0,1.000000,0,525.4248,45.00,480.4248
5170.0,1.000000,0,525.4253,45.00,480.4253
5180.0,1.000000,0,525.4258,45.00,480.4258
5190.0,1.000000,0,525.4263,45.00,480.4263
5200.0,1.000000,0,525.4268,45.00,480.4268
5210.0,1.000000,0,525.4273,45.00,480.4273
5220.0,1.000000,0,525.4278,45.00,480.4278
5230.0,1.000000,0,525.4283,45.00,480.4283
5240.0,1.000000,0,525.4288,45.00,480.4288
